,out-of-range-too-light,in-range-light,in-range-standard,in-range-dark,out-of-range-too-dark
out-of-range-too-light,6.0167617497141865,7.008370693385001,7.3937833103192,7.140938767037216,8.552566121990306
in-range-light,7.008370693385002,6.037145886801163,6.325884241011248,6.781686445165604,6.8446760641927025
in-range-standard,7.3937833103192,6.325884241011248,5.9283491682836695,6.422101781196816,6.519456650119527
in-range-dark,7.140938767037217,6.781686445165602,6.422101781196816,6.4895044986461015,7.244956668263414
out-of-range-too-dark,8.55256612199031,6.844676064192702,6.519456650119525,7.244956668263414,6.2547565250634936
