,out-of-range-too-light,in-range-light,in-range-standard,in-range-dark,out-of-range-too-dark
out-of-range-too-light,7.544760540108343,10.784754741296162,32.85260202643214,35.348047590909886,25.255535023623672
in-range-light,10.784754741296164,7.103915928769465,24.607639344450938,27.107077382129386,17.155056668447923
in-range-standard,32.85260202643213,24.607639344450938,3.2921652350946986,4.248442692972267,8.305157888430264
in-range-dark,35.34804759090988,27.107077382129386,4.248442692972267,3.6862500668258438,10.752859341798063
out-of-range-too-dark,25.255535023623672,17.155056668447923,8.305157888430264,10.752859341798063,3.5889023744118163
