,out-of-range-too-light,in-range-light,in-range-standard,in-range-dark,out-of-range-too-dark
out-of-range-too-light,4.583277206941884,30.005666320322614,31.098581567789704,32.827072939245085,36.73194670992281
in-range-light,30.005666320322614,4.60082884926223,4.776215275707846,5.073525845554479,7.42684815571244
in-range-standard,31.098581567789704,4.776215275707847,4.3698555352888055,4.816684666600033,6.585027228501683
in-range-dark,32.827072939245085,5.073525845554479,4.816684666600033,4.202872969805194,5.407879293597858
out-of-range-too-dark,36.73194670992281,7.42684815571244,6.585027228501683,5.407879293597858,3.717253525629214
