,out-of-range-too-light,in-range-light,in-range-standard,in-range-dark,out-of-range-too-dark
out-of-range-too-light,5.428499897592202,5.295986595292881,13.125897536641864,6.390277970952982,6.165412826993639
in-range-light,5.295986595292881,3.9927660411686916,12.572126160026238,4.966473946245549,4.689550074840925
in-range-standard,13.125897536641864,12.572126160026238,5.620995386802349,12.054906781633553,12.030228914556897
in-range-dark,6.390277970952982,4.96647394624555,12.054906781633553,4.497568625178868,4.856381074119925
out-of-range-too-dark,6.165412826993637,4.689550074840925,12.030228914556897,4.856381074119925,4.2201658140695155
