,out-of-range-too-light,in-range-light,in-range-standard,in-range-dark,out-of-range-too-dark
out-of-range-too-light,6.196918116517092,7.212379204452932,9.417393002536425,8.06047270374901,8.215731090737632
in-range-light,7.212379204452932,6.129750941555427,8.031117260688282,6.706415923072319,9.259310105205966
in-range-standard,9.417393002536425,8.031117260688282,5.951101318812443,6.994930689094569,9.240337638108787
in-range-dark,8.06047270374901,6.706415923072319,6.994930689094569,5.676405058066401,8.649666753972264
out-of-range-too-dark,8.21573109073763,9.259310105205966,9.240337638108787,8.649666753972264,7.857239862384585
