,out-of-range-too-light,in-range-light,in-range-standard,in-range-dark,out-of-range-too-dark
out-of-range-too-light,5.878918006743615,6.124812305577481,6.441976168625771,6.831678318494787,6.701407037066164
in-range-light,6.124812305577481,4.920414841037903,5.756961276405384,5.824172393786779,6.0042705127634575
in-range-standard,6.441976168625771,5.756961276405385,5.241254453937812,5.4163929671604905,6.2238763753883415
in-range-dark,6.831678318494787,5.824172393786779,5.416392967160491,4.737709840769626,5.461656261286975
out-of-range-too-dark,6.701407037066164,6.0042705127634575,6.2238763753883415,5.461656261286975,4.817542091526872
